Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-3.945e-09,1,1,1,1,1,1,1,1,1,1,1
-3.865e-09,0,1,1,1,1,1,1,1,1,1,1
-3.785e-09,0,1,1,1,1,1,1,1,1,1,1
-3.705e-09,0,1,1,1,1,1,1,1,1,1,1
-3.625e-09,1,1,1,1,1,1,1,1,1,1,1
-3.545e-09,1,1,1,1,1,1,1,1,1,1,1
-3.465e-09,0,1,1,1,1,1,1,1,1,1,1
-3.385e-09,0,1,1,1,1,1,1,1,1,1,1
-3.305e-09,0,1,1,1,1,1,1,1,1,1,1
-3.225e-09,1,1,1,1,1,1,1,1,1,1,1
-3.145e-09,1,1,1,1,1,1,1,1,1,1,1
-3.065e-09,0,1,1,1,1,1,1,1,1,1,1
-2.985e-09,0,1,1,1,1,1,1,1,1,1,1
-2.905e-09,0,1,1,1,1,1,1,1,1,1,1
-2.825e-09,1,1,1,1,1,1,1,1,1,1,1
-2.745e-09,1,1,1,1,1,1,1,1,1,1,1
-2.665e-09,1,1,1,1,1,1,1,1,1,1,1
-2.585e-09,0,1,1,1,1,1,1,1,1,1,1
-2.505e-09,0,1,1,1,1,1,1,1,1,1,1
-2.425e-09,1,1,1,1,1,1,1,1,1,1,1
-2.345e-09,1,1,1,1,1,1,1,1,1,1,1
-2.265e-09,1,1,1,1,1,1,1,1,1,1,1
-2.185e-09,0,1,1,1,1,1,1,1,1,1,1
-2.105e-09,0,1,1,1,1,1,1,1,1,1,1
-2.025e-09,1,1,1,1,1,1,1,1,1,1,1
-1.945e-09,1,1,1,1,1,1,1,1,1,1,1
-1.865e-09,1,1,1,1,1,1,1,1,1,1,1
-1.785e-09,0,1,1,1,1,1,1,1,1,1,1
-1.705e-09,0,1,1,1,1,1,1,1,1,1,1
-1.625e-09,0,1,1,1,1,1,1,1,1,1,1
-1.545e-09,1,1,1,1,1,1,1,1,1,1,1
-1.465e-09,1,1,1,1,1,1,1,1,1,1,1
-1.385e-09,0,1,1,1,1,1,1,1,1,1,1
-1.305e-09,0,1,1,1,1,1,1,1,1,1,1
-1.225e-09,0,1,1,1,1,1,1,1,1,1,1
-1.145e-09,1,1,1,1,1,1,1,1,1,1,1
-1.065e-09,1,1,1,1,1,1,1,1,1,1,1
-9.85e-10,0,1,1,1,1,1,1,1,1,1,1
-9.05e-10,0,1,1,1,1,1,1,1,1,1,1
-8.25e-10,0,1,1,1,1,1,1,1,1,1,1
-7.45e-10,1,1,1,1,1,1,1,1,0,0,0
-6.65e-10,1,1,0,1,0,1,1,0,0,0,0
-5.85e-10,1,1,0,1,0,1,1,0,0,0,0
-5.05e-10,0,1,0,1,0,1,1,0,0,0,0
-4.25e-10,0,0,0,1,0,1,1,0,0,0,0
-3.45e-10,1,0,0,1,0,1,1,0,0,0,0
-2.65e-10,1,0,0,1,0,1,1,0,0,0,0
-1.85e-10,1,0,0,1,0,1,1,0,0,0,0
-1.05e-10,0,1,0,1,0,1,1,0,0,0,0
-2.5e-11,0,1,0,1,0,1,1,0,0,0,0
5.5e-11,1,1,1,1,0,1,1,0,0,0,1
1.35e-10,1,1,1,1,0,1,1,0,0,0,1
2.15e-10,1,1,1,0,0,1,0,0,0,0,1
2.95e-10,0,1,1,0,0,0,0,0,0,0,1
3.75e-10,0,1,1,0,0,0,0,0,0,0,1
4.55e-10,0,1,1,0,0,0,0,0,0,0,1
5.35e-10,1,1,1,0,0,0,0,0,0,0,1
6.15e-10,1,1,1,0,0,0,0,0,0,0,1
6.95e-10,0,1,1,0,0,0,0,0,0,0,1
7.75e-10,0,1,1,0,0,0,0,0,0,0,1
8.55e-10,0,1,1,0,0,0,0,0,0,0,1
9.35e-10,1,1,1,1,1,0,1,0,1,0,1
1.015e-09,1,1,1,1,1,1,1,1,1,1,1
1.095e-09,1,1,1,1,1,1,1,1,1,1,1
1.175e-09,0,1,1,1,1,1,1,1,1,1,1
1.255e-09,0,1,1,1,1,1,1,1,1,1,1
1.335e-09,1,1,1,1,1,1,1,1,1,1,1
1.415e-09,1,1,1,1,1,1,1,1,1,1,1
1.495e-09,1,1,1,1,1,1,1,1,1,1,1
1.575e-09,0,1,1,1,1,1,1,1,1,1,1
1.655e-09,0,1,1,1,1,1,1,1,1,1,1
1.735e-09,1,1,1,1,1,1,1,1,1,1,1
1.815e-09,1,1,1,1,1,1,1,1,1,1,1
1.895e-09,1,1,1,1,1,1,1,1,1,1,1
1.975e-09,0,1,1,1,1,1,1,1,1,1,1
2.055e-09,0,1,1,1,1,1,1,1,1,1,1
2.135e-09,1,1,1,1,1,1,1,1,1,1,1
2.215e-09,1,1,1,1,1,1,1,1,1,1,1
2.295e-09,1,1,1,1,1,1,1,1,1,1,1
2.375e-09,0,1,1,1,1,1,1,1,1,1,1
2.455e-09,0,1,1,1,1,1,1,1,1,1,1
2.535e-09,0,1,1,1,1,1,1,1,1,0,1
2.615e-09,1,1,1,1,1,1,1,1,0,0,1
2.695e-09,1,1,0,1,0,1,1,1,0,0,0
2.775e-09,0,1,0,1,0,1,1,1,0,0,0
2.855e-09,0,0,0,1,0,1,1,1,0,0,0
