Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
1.17499954e-09,0,1,1,1,1,1,1,1,1,1,1
1.25499953e-09,0,1,1,1,1,1,1,1,1,1,1
1.33499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.41499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.49499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.57499953e-09,0,1,1,1,1,1,1,1,1,1,1
1.65499953e-09,0,1,1,1,1,1,1,1,1,1,1
1.73499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.81499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.89499953e-09,1,1,1,1,1,1,1,1,1,1,1
1.97499953e-09,0,1,1,1,1,1,1,1,1,1,1
2.05499953e-09,0,1,1,1,1,1,1,1,1,1,1
2.13499953e-09,1,1,1,1,1,1,1,1,1,1,1
2.21499953e-09,1,1,1,1,1,1,1,1,1,1,1
2.29499953e-09,1,1,1,1,1,1,1,1,1,1,1
2.37499953e-09,0,1,1,1,1,1,1,1,1,1,1
2.45499953e-09,0,1,1,1,1,1,1,1,1,1,1
2.53499953e-09,0,1,1,1,1,1,1,1,1,0,1
2.61499953e-09,1,1,1,1,1,1,1,1,0,0,1
2.69499953e-09,1,1,0,1,0,1,1,1,0,0,0
2.77499953e-09,0,1,0,1,0,1,1,1,0,0,0
2.85499953e-09,0,0,0,1,0,1,1,1,0,0,0
2.93499953e-09,0,0,0,1,0,1,1,1,0,0,0
3.01499953e-09,1,0,0,1,0,1,1,1,0,0,0
3.09499953e-09,1,0,0,1,0,1,1,1,0,0,0
3.17499953e-09,1,1,0,1,0,1,1,1,0,0,0
3.25499953e-09,0,1,0,1,0,1,1,1,0,0,0
3.33499953e-09,0,1,0,1,0,1,1,1,0,0,0
3.41499953e-09,1,1,1,1,0,1,1,1,0,0,1
3.49499953e-09,1,1,1,1,0,1,1,1,0,0,1
3.57499953e-09,1,1,1,0,0,1,0,0,0,0,1
3.65499953e-09,0,1,1,0,0,0,0,0,0,0,1
3.73499952e-09,0,1,1,0,0,0,0,0,0,0,1
3.81499952e-09,1,1,1,0,0,0,0,0,0,0,1
3.89499952e-09,1,1,1,0,0,0,0,0,0,0,1
3.97499952e-09,1,1,1,0,0,0,0,0,0,0,1
4.05499952e-09,0,1,1,0,0,0,0,0,0,0,1
4.13499952e-09,0,1,1,0,0,0,0,0,0,0,1
4.21499952e-09,1,1,1,0,1,0,1,0,1,0,1
4.29499952e-09,1,1,1,1,1,1,1,1,1,1,1
4.37499952e-09,1,1,1,1,1,1,1,1,1,1,1
4.45499952e-09,0,1,1,1,1,1,1,1,1,1,1
4.53499952e-09,0,1,1,1,1,1,1,1,1,1,1
4.61499952e-09,0,1,1,1,1,1,1,1,1,1,1
4.69499952e-09,1,1,1,1,1,1,1,1,1,1,1
4.77499952e-09,1,1,1,1,1,1,1,1,1,1,1
4.85499952e-09,0,1,1,1,1,1,1,1,1,1,1
4.93499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.01499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.09499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.17499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.25499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.33499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.41499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.49499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.57499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.65499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.73499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.81499952e-09,0,1,1,1,1,1,1,1,1,1,1
5.89499952e-09,1,1,1,1,1,1,1,1,1,1,1
5.97499952e-09,1,1,1,1,1,1,1,1,1,1,1
6.05499952e-09,1,1,1,1,1,1,1,1,1,1,1
6.13499952e-09,0,1,1,1,1,1,1,1,1,1,1
6.21499952e-09,0,1,1,1,1,1,1,1,1,1,1
6.29499951e-09,1,1,1,1,1,1,1,1,1,1,1
6.37499951e-09,1,1,1,1,1,1,1,1,1,1,1
6.45499951e-09,1,1,1,1,1,1,1,1,1,1,1
6.53499951e-09,0,1,1,1,1,1,1,1,1,1,1
6.61499951e-09,0,1,1,1,1,1,1,1,1,1,1
6.69499951e-09,0,1,1,1,1,1,1,1,1,1,1
6.77499951e-09,1,1,1,1,1,1,1,1,1,1,1
6.85499951e-09,1,1,1,1,1,1,1,1,1,1,1
6.93499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.01499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.09499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.17499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.25499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.33499951e-09,1,1,1,1,1,1,1,1,1,1,1
7.41499951e-09,0,1,1,1,1,1,1,1,1,1,1
7.49499951e-09,0,1,1,1,1,1,1,1,1,1,1
