Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-4.825e-09,1,1,1,1,1,1,1,1,1,1,1
-4.745e-09,1,1,1,1,1,1,1,1,1,1,1
-4.665e-09,0,1,1,1,1,1,1,1,1,1,1
-4.585e-09,0,1,1,1,1,1,1,1,1,1,1
-4.505e-09,1,1,1,1,1,1,1,1,1,1,1
-4.425e-09,1,1,1,1,1,1,1,1,1,1,1
-4.345e-09,1,1,1,1,1,1,1,1,1,1,1
-4.265e-09,0,1,1,1,1,1,1,1,1,1,1
-4.185e-09,0,1,1,1,1,1,1,1,1,1,1
-4.105e-09,0,1,1,1,1,1,1,1,1,1,1
-4.025e-09,1,1,1,1,1,1,1,1,1,1,1
-3.945e-09,1,1,1,1,1,1,1,1,1,1,1
-3.865e-09,0,1,1,1,1,1,1,1,1,1,1
-3.785e-09,0,1,1,1,1,1,1,1,1,1,1
-3.705e-09,0,1,1,1,1,1,1,1,1,1,1
-3.625e-09,1,1,1,1,1,1,1,1,1,1,1
-3.545e-09,1,1,1,1,1,1,1,1,1,1,1
-3.465e-09,0,1,1,1,1,1,1,1,1,1,1
-3.385e-09,0,1,1,1,1,1,1,1,1,1,1
-3.305e-09,0,1,1,1,1,1,1,1,1,1,1
-3.225e-09,1,1,1,1,1,1,1,1,1,1,1
-3.145e-09,1,1,1,1,1,1,1,1,1,1,1
-3.065e-09,1,1,1,1,1,1,1,1,1,1,1
-2.985e-09,0,1,1,1,1,1,1,1,1,1,1
-2.905e-09,0,1,1,1,1,1,1,1,1,1,1
-2.825e-09,1,1,1,1,1,1,1,1,1,1,1
-2.745e-09,1,1,1,1,1,1,1,1,1,1,1
-2.665e-09,1,1,1,1,1,1,1,1,1,1,1
-2.585e-09,0,1,1,1,1,1,1,1,1,1,1
-2.505e-09,0,1,1,1,1,1,1,1,1,1,1
-2.425e-09,1,1,1,1,1,1,1,1,1,1,1
-2.345e-09,1,1,1,1,1,1,1,1,1,1,1
-2.265e-09,1,1,1,1,1,1,1,1,1,1,1
-2.185e-09,0,1,1,1,1,1,1,1,1,1,1
-2.105e-09,0,1,1,1,1,1,1,1,1,1,1
-2.025e-09,0,1,1,1,1,1,1,1,1,1,1
-1.945e-09,1,1,1,1,1,1,1,1,1,1,1
-1.865e-09,1,1,1,1,1,1,1,1,1,1,1
-1.785e-09,0,1,1,1,1,1,1,1,1,1,1
-1.705e-09,0,1,1,1,1,1,1,1,1,1,1
-1.625e-09,0,1,1,1,1,1,1,1,1,1,1
-1.545e-09,1,1,1,1,1,1,1,1,1,1,1
-1.465e-09,1,1,1,1,1,1,1,1,1,1,1
-1.385e-09,0,1,1,1,1,1,1,1,1,1,1
-1.305e-09,0,1,1,1,1,1,1,1,1,1,1
-1.225e-09,0,1,1,1,1,1,1,1,1,1,1
-1.145e-09,1,1,1,1,1,1,1,1,1,1,1
-1.065e-09,1,1,1,1,1,1,1,1,1,1,1
-9.85e-10,1,1,1,1,1,1,1,1,1,1,1
-9.05e-10,0,1,1,1,1,1,1,1,1,1,1
-8.25e-10,0,1,1,1,1,1,1,1,1,1,1
-7.45e-10,1,1,1,1,1,1,1,1,1,0,1
-6.65e-10,1,1,0,0,0,1,1,1,1,0,1
-5.85e-10,1,1,0,0,0,1,1,0,1,0,1
-5.05e-10,0,1,0,0,0,1,1,0,1,0,1
-4.25e-10,0,0,0,0,0,1,1,0,1,0,1
-3.45e-10,1,0,0,0,0,1,1,0,1,0,1
-2.65e-10,1,0,0,0,0,1,1,0,1,0,1
-1.85e-10,1,0,0,0,0,1,1,0,1,0,1
